"","university_name","lon","lat"
"128","Catholic University of Korea",127.0043275,37.5859218
"129","University of Patras",21.7871827,38.28657
"130","Missouri University of Science and Technology",-91.7755727,37.953451
"131","University of Portsmouth",-1.0935686,50.7951287
"132","State University of New York Upstate Medical University",-76.1396943,43.0425431
"133","Rovira i Virgili University",1.260497,41.1196609
"134","Gifu University",136.7365752,35.4662236
"135","Hacettepe University",32.7299184,39.8705295
"136","Kindai University",135.587042,34.65123
"137","King Abdullah University of Science and Technology",39.104697,22.309465
"138","University of Insubria",8.827665,45.814548
"139","UNESP, São Paulo State University",-50.4374706,-22.6495713
"140","Jichi Medical University",139.860547,36.399763
"141","Marche Polytechnic University",13.5127759,43.6171442
"142","Aston University",-1.8902314,52.4869642
"143","University of the Balearic Islands",2.6438106,39.6392898
"144","San Francisco State University",-122.4782094,37.721897
"145","Kitasato University",139.72563,35.644758
"146","University of Cantabria",-3.804062,43.471405
"147","Mie University",136.523589,34.746053
"148","University of Évry Val d'Essonne",2.4259795,48.6249351
"149","Yamaguchi University",131.467635,34.147662
"150","Showa University",139.7037786,35.6082833
"151","North Dakota State University - Main Campus",-96.8013927,46.8921783
"152","Paul Valéry University, Montpellier III",3.8705564,43.6315656
"153","Wuhan University of Technology",114.356477,30.610732
"154","National Polytechnic Institute",-99.135402,19.496696
"155","Jikei University School of Medicine",139.7508176,35.6624661
"156","Yamagata University",140.3493705,38.2466122
"157","Inje University",128.90269,35.248712
"158","University of Caen Lower Normandy",-0.363888,49.188971
"159","University of Castilla–La Mancha",-3.9266844,38.9933175
"160","University of Electro-Communications",139.544066,35.6560445
"161","Yeungnam University",128.7575746,35.8322424
"162","Jawaharlal Nehru Centre for Advanced Scientific Research",77.6109456,13.0685451
"163","University of Perpignan Via Domitia",2.8988733,42.6820428
"164","University of Salento",18.1672669,40.3495599
"165","Fukuoka University",130.3649282,33.5483247
"166","Blaise Pascal University",3.1123259,45.7640856
"167","Bowling Green State University",-83.6300826,41.3797788
"168","Norwegian University of Life Sciences",10.7680122,59.6663589
"169","University of Picardie Jules Verne",2.263799,49.876407
"170","University of Hohenheim",9.2139326,48.7119251
"171","University of Eastern Piedmont Amedeo Avogadro",8.4185648,45.3290871
"172","Budapest University of Technology and Economics",19.0554834,47.4813261
"173","Jaume I University",-0.0689003,39.9945711
"174","Kangwon National University",127.743386,37.869984
"175","Wright State University - Dayton",-84.0635798,39.7814843
"176","Chungbuk National University",127.4583253,36.6282989
"177","Sejong University",127.075092,37.549035
"178","Chung-Ang University",126.956954,37.504147
"179","Chosun University",126.9312501,35.1405727
"180","Ritsumeikan University",135.7233044,35.0325561
"181","University of the Ryukyus",127.7651421,26.2475821
"182","Fluminense Federal University",-43.131309,-22.904648
"183","Bilkent University",32.7475962,39.8746147
"184","Saitama University",139.608483,35.8654477
"185","RMIT University",144.9639667,-37.8085495
"186","Hirosaki University",140.4724839,40.5894834
"187","Teikyo University",139.7145029,35.7592746
"188","University of Veterinary Medicine Vienna",16.4316619,48.2544223
"189","Huazhong Agricultural University",114.353035,30.475126
"190","Jean Monnet University",4.392985,45.424622
"191","Shimane University",133.0681164,35.4865462
"192","Gazi University",32.822951,39.942758
"193","National University of Colombia",-74.0840464,4.6381938
"194","Boğaziçi University",29.0510399,41.0847571
"195","Pukyong National University",129.1037235,35.1338105
"196","Federal University of Paraná",-49.2617658,-25.4269081
"197","Hallym University",127.7377722,37.8862292
"198","University of the Republic (Uruguay)",-56.1764642,-34.9022619
"199","Public University of Navarre",-1.6366142,42.8004323
"200","Jiangsu University",119.514279,32.19932
"201","University of Reims Champagne-Ardenne",4.04023,49.255799
"202","Chung Shan Medical University",120.650412,24.1225235
"203","Amirkabir University of Technology",51.4091693,35.7040861
"204","University of Valenciennes and Hainaut-Cambresis",3.5144706,50.3283586
"205","University of the Algarve",-7.9722079,37.0439713
"206","Federal University of Ceará",-38.539389,-3.741262
"207","Federico Santa María Technical University",-71.5956131,-33.0347298
"208","Fu Jen Catholic University",121.4327592,25.0362991
"209","Tarbiat Modares University",51.383872,35.7233975
"210","University of Puerto Rico at Mayagüez",-67.1391071,18.2110294
"211","University of Pau and Pays de l'Adour",-0.365746,43.3151242
"212","China Medical University (PRC)",123.412273,41.793213
"213","Federal University of ABC",-46.5284139,-23.6441964
"214","King Juan Carlos University",-3.8748922,40.3366526
"215","University of Maine (Le Mans)",0.1609863,48.0177311
"216","National Taipei University of Technology",121.5354983,25.0422138
"217","National University of Defense Technology",112.999835,28.2297114
"218","Columbia University",-73.9625727,40.8075355
"219","California Institute of Technology",-118.125269,34.1376576
"220","University of California, San Diego",-117.2340135,32.8800604
"221","University of Illinois at Urbana–Champaign",-88.2271615,40.1019523
"222","Keio University",139.7429376,35.6489643
"223","Waseda University",139.7208045,35.7092082
"224","Weizmann Institute of Science",34.811363,31.907867
"225","University of Pittsburgh - Pittsburgh Campus",-79.960835,40.4443533
"226","Rutgers University-New Brunswick",-74.4473991,40.5008186
"227","University of Paris-Sud",2.1764839,48.6976847
"228","Lomonosov Moscow State University",37.5286695,55.7039349
"229","University of British Columbia",-123.2459939,49.2606052
"230","Pierre-and-Marie-Curie University",2.357499,48.8471036
"231","Tohoku University",140.874074,38.253834
"232","University of Rochester",-77.6260033,43.1305531
"233","Erasmus University Rotterdam",4.525585,51.91752
"234","University of Texas MD Anderson Cancer Center",-95.3969227,29.7071429
