"university_name","lon","lat"
"Aston University",-1.8902314,52.4869642
"Auburn University",-85.4951663,32.5933574
"Clemson University",-82.8391551,34.680476
"Curtin University",115.8944182,-32.0061951
"Deakin University",145.1149452,-37.8477381
"Flinders University",138.5713281,-35.0244952
"Georgia State University",-84.3852819,33.753068
"Griffith University",153.053674,-27.5536791
"Harbin Institute of Technology",126.633425,45.747047
"Heriot-Watt University",-3.3203494,55.9096602
"Hiroshima University",132.714908,34.403123
"Kansas State University",-96.5847249,39.1974437
"Kobe University",135.2353953,34.7256185
"Kyung Hee University",127.052544,37.5961951
"La Trobe University",145.0483946,-37.7207268
"Leibniz University of Hanover",9.7196989,52.3829641
"Liverpool John Moores University",-2.9712846,53.4034017
"Loughborough University",-1.224632,52.769227
"Mahidol University",100.3233845,13.7947609
"Massey University",175.619553,-40.3867649
"Michigan Technological University",-88.5445293,47.1170498
"National Central University",121.1925163,24.9694808
"National Taiwan Ocean University",121.7768159,25.1501756
"National University of Ireland, Galway",-9.061603,53.276645
"National University of Ireland, Maynooth",-6.6000704,53.3838822
"New Jersey Institute of Technology",-74.1778803,40.7425572
"New University of Lisbon",-9.160333,38.733682
"Old Dominion University",-76.3035628,36.888947
"Polytechnic University of Catalonia",2.1132804,41.388004
"Polytechnic University of Turin",7.6620529,45.0627948
"Polytechnic University of Valencia",-0.341067,39.481059
"Pontifical Catholic University of Chile",-70.6407933,-33.4411279
"Saint Petersburg State University",30.2989198,59.941894
"Swansea University",-3.982132,51.608392
"Swinburne University of Technology",145.0389546,-37.8221504
"Tokyo University of Agriculture and Technology",139.478664,35.683986
"University of Bari Aldo Moro",16.8684745,41.1205546
"University of Coimbra",-8.4241509,40.2089072
"University of Idaho",-117.0126084,46.7288124
"University of Kent",1.071629,51.298536
"University of Paris North – Paris 13",2.341461,48.956209
"University of Salento",18.1672669,40.3495599
"University of South Australia",138.6066669,-34.9201652
"University of Strathclyde",-4.2428535,55.8628285
"University of Tartu",26.7198658,58.3810843
"University of Turku",22.2851138,60.4562974
"University of Wyoming",-105.5796706,41.3130972
"University of Zaragoza",-0.90034,41.64213
"Waseda University",139.7208045,35.7092082
"Wuhan University",114.3643219,30.5360485
"Yuan Ze University",121.2664937,24.9699006
"Paris-Sud University",2.1764839,48.6976847
"Joseph Fourier University",4.915197,44.91763
"Johannes Gutenberg University of Mainz",8.2415552,49.9926403
"St George’s, University of London",-0.1745034,51.4271937
"University of Erlangen-Nuremberg",11.0045507,49.5978804
"Florida Institute of Technology",-80.623022,28.0646888
"Indian Institute of Technology Kharagpur",87.3105311,22.3149274
"Koç University",29.0732704,41.2053128
"Laval University",-71.2747424,46.7817463
"Mines ParisTech",2.339632,48.845585
"National Research Nuclear University MePhI",37.6638741,55.649567
"University of Connecticut",-72.2539805,41.8077414
"University of Oregon",-123.0726055,44.0448302
"Bayreuth University",11.585831,49.9288196
"Oregon State University",-123.2794442,44.5637806
"University of Montana",-113.9852081,46.8600672
"University of Turin",7.6889006,45.069428
"Claude Bernard University Lyon 1",4.862939,45.779462
"King Abdulaziz University",39.2457769,21.4938519
"Medical University of Vienna",16.351571,48.219673
"Murdoch University",115.8329519,-32.0686354
"National Cheng Kung University",120.2180947,22.9996873
"North Carolina State University",-78.6820946,35.7846633
"Renmin University of China",116.3188145,39.9696062
"University of Fribourg",7.152006,46.806357
"University of Pavia",9.1555362,45.1864597
"University of Portsmouth",-1.0935686,50.7951287
"University of Vermont",-73.1964637,44.4778528
"Indian Institute of Technology Roorkee",77.8965787,29.8648599
"King Mongkut’s University of Technology Thonburi",100.4949226,13.6517367
"National Autonomous University of Mexico",-99.1843676,19.3188895
"Paris Dauphine University",2.273451,48.870029
"Southern Methodist University",-96.7845175,32.8412178
"Temple University",-75.1575243,39.9803336
"University of Duisburg-Essen",6.8009529,51.4277477
"University of Jyväskylä",25.7316335,62.2365317
"University of KwaZulu-Natal",30.9807272,-29.8674219
"University of Minho",-8.3966231,41.5598965
"University of Technology Sydney",151.2004942,-33.8832376
"University of the Andes, Colombia",-74.065012,4.602968
"University of Vigo",-8.6833929,42.1694456
"Panjab University",76.7653924,30.7606188
"University of Cologne",6.9288192,50.9281625
"University of Nebraska-Lincoln",-96.7004763,40.8201966
"University of Alaska Fairbanks",-147.8364611,64.8575556
"Wuhan University of Technology",114.356477,30.610732
"China Medical University, Taiwan",120.6801328,24.1562767
"Hanyang University",127.0453219,37.5572321
"Indian Institute of Technology Delhi",77.1926283,28.5449756
"Indian Institute of Technology Kanpur",80.2329,26.5123388
"King Saud University",46.6191078,24.716241
"San Diego State University",-117.0718893,32.7757217
"University of Florence",11.259765,43.7776426
"University of Navarra",-1.6582784,42.8024726
"University of Rovira i Virgili",1.260497,41.1196609
"Scuola Normale Superiore di Pisa",10.4003296,43.7196006
"Syracuse University",-76.1351158,43.0391534
"Sabancı University",29.3748667,40.8928831
"Technical University of Berlin",13.3269446,52.5125322
"Federico Santa María Technical University",-71.5956131,-33.0347298
"University of Bremen",8.85204,53.106758
"University of New Mexico",-106.6197812,35.0843187
"Indian Institute of Science",77.5671423,13.0218597
"Lappeenranta University of Technology",28.0941671,61.0648818
"University of Macau",113.5466489,22.1290705
"Illinois Institute of Technology",-87.6270059,41.8348731
"Novosibirsk State University",83.0943884,54.8477462
"University of Marrakech Cadi Ayyad",-8.0038775,31.6652074
"University of Nebraska Medical Center",-95.9778714,41.2551186
"University of Stuttgart",9.1747024,48.7815352
"Ewha Womans University",126.9468294,37.5618577
"Isfahan University of Technology",51.5330109,32.7200351
"Royal College of Surgeons in Ireland",-6.261986,53.338985
"University of Lisbon",-9.1567472,38.7530019
"University of Rome III",12.4795619,41.8620534
"University of Seoul",127.0587771,37.5838657
"Western Sydney University",151.0251472,-33.8118321
"University of Mannheim",8.4622333,49.4837106
"Scuola Superiore Sant’Anna",10.4027859,43.7209661
"University of Luxembourg",5.948386,49.504254
"Charité - Universitätsmedizin Berlin",13.3766245,52.5264618
"Copenhagen Business School",12.529679,55.681611
"Florida State University",-84.2984889,30.4418778
"Oregon Health and Science University",-122.6859419,45.499045
"Paris Descartes University",2.340761,48.851251
"Peter the Great St Petersburg Polytechnic University",30.372899,60.007357
"Royal Veterinary College",-0.1335335,51.536454
"Rush University",-87.6695315,41.8736016
"Aix-Marseille University",5.3591422,43.2922146
"University of Bordeaux",-0.5707764,44.830485
"James Cook University",146.7580624,-19.3275726
"Justus Liebig University Giessen",8.6771313,50.5804427
"Saint Louis University",-90.2373647,38.6354092
"University of Tennessee, Knoxville",-83.9294564,35.9544013
"Tomsk Polytechnic University",84.950135,56.465427
"University of Greifswald",13.3746917,54.0949312
"Gwangju Institute of Science and Technology",126.8407202,35.2272692
"University of Hohenheim",9.2139326,48.7119251
"Kazan Federal University",49.1214348,55.790447
"Medical College of Wisconsin",-88.020103,43.043967
"University of Naples Federico II",14.2578058,40.845492
"Örebro University",15.24923,59.254276
"Technical University of Dortmund",7.4128386,51.4926981
"Toulouse 1 Capitole University",1.4371122,43.6067724
"VŠB - Technical University of Ostrava",18.1636092,49.8336826
"University of Cyprus",33.3770175,35.1600014
"University of St Gallen",9.3755673,47.4321575
"Graz University of Technology",15.450342,47.0692742
"Instituto Superior Técnico Lisboa",-9.138705,38.7368192
"University of Oulu",25.4662935,65.0593177
"Panthéon-Sorbonne University – Paris 1",2.344468,48.8469373
"University of South Dakota",-96.925271,42.784118
"Lille 2 University – Health and Law",3.0838866,50.6115951
"Verona University",11.004076,45.43844
"American University",-77.088468,38.93741
"Bournemouth University",-1.8962463,50.742981
"University of Brescia",10.217297,45.537837
"Brno University of Technology",16.6033808,49.2017233
"Ca’ Foscari University of Venice",12.3261971,45.4345319
"University of Cagliari",9.1149594,39.2175754
"Catholic University of the Sacred Heart",9.1771785,45.4621325
"City University London",-0.1025445,51.5278249
"Complutense University of Madrid",-3.7285872,40.4478246
"Concordia University",-117.810409,33.65461
"Dublin City University",-6.2567437,53.3861818
"East China University of Science and Technology",121.4251069,31.1408757
"Florida International University",-80.3739487,25.7565756
"University of Genoa",8.9267336,44.4149149
"Howard University",-77.0194377,38.9226843
"Indian Institute of Technology Madras",80.2339031,12.9908081
"University of Ioannina",20.8450898,39.6158593
"Iran University of Science and Technology",51.5023103,35.742474
"University of Kaiserslautern",7.7556483,49.4253647
"Louisiana State University",-91.1800023,30.4132579
"Makerere University",32.5709881,0.329183
"Marche Polytechnic University",13.5127759,43.6171442
"University of Nantes",-1.5559718,47.2095499
"National and Kapodistrian University of Athens",23.7786871,37.968196
"National Institute of Applied Sciences of Lyon (INSA Lyon)",4.878273,45.782938
"National Yang-Ming University",121.5137024,25.1230017
"University of Neuchâtel",6.9387031,46.9938549
"University of Nice Sophia Antipolis",7.2896737,43.7099458
"The Open University",-0.7104769,52.0250914
"Oxford Brookes University",-1.29121,51.7399245
"University of Palermo",13.369838,38.11779
"University of Parma",10.3257786,44.8011856
"RMIT University",144.9639667,-37.8085495
"University of Rome II – Tor Vergata",12.5978728,41.850142
"University of San Francisco",-122.450683,37.7766466
"University of Saskatchewan",-106.6313582,52.1334003
"University of Siena",11.3330265,43.3191557
"Southern Cross University",153.2994676,-28.8186387
"Tampere University of Technology",23.8586408,61.4497952
"University of Ulsan",129.256337,35.543932
"Ulster University",-6.6751586,55.1497581
"Université du Québec à Montréal",-73.5605955,45.5125995
"Universiti Teknologi Malaysia",103.6381827,1.55849
"University of Urbino Carlo Bo",12.6367849,43.7243069
"Xiamen University",118.097855,24.4373484
"American University of Beirut",35.4811142,33.90113
"Amirkabir University of Technology",51.4091693,35.7040861
"University of Arkansas",-94.1736551,36.0678324
"Babeş-Bolyai University",23.5912762,46.7677955
"University of the Basque Country",-2.673645,42.838485
"Bauman Moscow State Technical University",37.6839719,55.7668614
"Ben-Gurion University of the Negev",34.801461,31.262218
"Blaise Pascal University",3.1123259,45.7640856
"University of Burgundy",5.0703447,47.3117503
"University of Canberra",149.0840869,-35.2381609
"University of Catania",15.0864981,37.5035647
"Central Queensland University",150.5185512,-23.324376
"University of Chile",-70.6509277,-33.4445204
"China Agricultural University",116.353052,40.004171
"Chung-Ang University",126.956954,37.504147
"Czech Technical University in Prague",14.3912841,50.1030364
"De Montfort University",-1.139599,52.6291014
"East China Normal University",121.4066077,31.227812
"Edith Cowan University",115.7732882,-31.7524053
"Federal University of Rio de Janeiro",-43.1753638,-22.9541412
"University of Granada",-3.600767,37.183853
"University of Haifa",35.0195184,32.7614296
"Huazhong University of Science and Technology",114.413666,30.507905
"Indian Institute of Technology Guwahati",91.6950635,26.1929025
"Jadavpur University",88.3698181,22.4996111
"Kanazawa University",136.7087378,36.5459854
"King Fahd University of Petroleum and Minerals",50.1445651,26.3104682
"University of La Laguna",-16.3127175,28.4848482
"University of Limerick",-8.5745593,52.6687383
"Manchester Metropolitan University",-2.238469,53.471055
"University of Maribor",15.6433073,46.5591885
"Masaryk University",16.605384,49.1986299
"Memorial University of Newfoundland",-52.7329053,47.5737975
"Missouri University of Science and Technology",-91.7755727,37.953451
"Montana State University",-111.049325,45.667548
"Monterrey Institute of Technology and Higher Education",-121.8970109,36.5993006
"National Taiwan Normal University",121.5273658,25.0254571
"National Technical University of Athens",23.7827066,37.9783769
"New Mexico State University",-106.7447566,32.2847481
"University of North Carolina at Greensboro",-79.8098429,36.0674908
"Oklahoma State University",-97.0737222,36.1270236
"Osaka City University",135.505417,34.5919232
"Otto von Guericke University of Magdeburg",11.647715,52.1401928
"University of Oviedo",-5.8462773,43.3617179
"Palacký University in Olomouc",17.2600153,49.5954268
"Pontifical Catholic University of Rio de Janeiro (PUC-Rio)",-43.2333608,-22.9782927
"Portland State University",-122.6846429,45.5119323
"University of Pretoria",28.2314476,-25.7545492
"Pusan National University",129.0797639,35.2336948
"Quaid-i-azam University",73.1380962,33.7462228
"University of Regina",-104.58849,50.4170134
"University of Rennes 1",-1.67296,48.1159299
"University of Salamanca",-5.6669251,40.9613376
"University of Santiago de Compostela",-8.545475,42.8799935
"Semmelweis University",19.0673266,47.4873553
"University of Seville",-5.9912307,37.3807579
"Université de Sherbrooke",-71.9255204,45.3768886
"Soochow University",120.639406,31.3094277
"South China University of Technology",113.344683,23.151326
"Tallinn University of Technology",24.671431,59.395884
"Tehran University of Medical Sciences",51.3941258,35.7058568
"University of Texas at Arlington",-97.1140881,32.7311482
"Tianjin University",117.1748329,39.1110824
"University of Toledo",-83.6125896,41.662156
"Tongji University",121.5045889,31.2823103
"University of Tulsa",-95.9445808,36.1511173
"United Arab Emirates University",55.6765345,24.1994378
"University of Wisconsin-Milwaukee",-87.8819686,43.078263
"Xi’an Jiaotong University",108.98371,34.250575
"University of A Coruña",-8.412419,43.3328827
"Adam Mickiewicz University",16.915402,52.4083974
"AGH University of Science and Technology",19.9136192,50.0668858
"Ajou University",127.0463559,37.2821251
"University of Alcalá",-3.3628674,40.4824722
"Alexandru Ioan Cuza University",27.5721117,47.1744351
"Aligarh Muslim University",78.0781901,27.9135016
"American University of Sharjah",55.4927023,25.3120502
"Amrita University",76.9025656,10.9001731
"Anadolu University",30.4991884,39.7912871
"Andhra University",83.320085,17.728816
"University of Antioquia",-75.5691113,6.2669533
"Aristotle University of Thessaloniki",22.9592224,40.6308283
"Asia University, Taiwan",120.686421,24.046532
"Athens University of Economics and Business",23.7324354,37.9940805
"Auckland University of Technology",174.7673188,-36.8532194
"Austral University of Chile",-73.2516591,-39.8061639
"Beijing Institute of Technology",116.311256,39.957127
"Belarusian State University",27.5460609,53.8938988
"University of Belgrade",20.4575676,44.8184339
"Birla Institute of Technology and Science, Pilani",75.5869784,28.3639812
"University of Bradford",-1.763463,53.790788
"University of Brasília",-47.8706311,-15.7631573
"University of Brighton",-0.119365,50.842116
"University of Bucharest",26.1016731,44.4354447
"Budapest University of Technology and Economics",19.0554834,47.4813261
"Cairo University",31.2068151,30.0223946
"University of Calcutta",88.3629295,22.5747806
"California State University, Long Beach",-118.1140904,33.7838235
"Capital Medical University",116.352877,39.865173
"University of Castilla-La Mancha",-3.9266844,38.9933175
"University of Central Lancashire",-2.7084395,53.7619242
"University of Cergy-Pontoise",2.074954,49.039076
"Chang Gung University",121.389184,25.0341666
"Carlos III University of Madrid",-3.7268114,40.3161385
"University of Chemistry and Technology, Prague",14.389611,50.103301
"Chiang Mai University",98.9546758,18.8082874
"Chiba University",140.1024122,35.6262467
"China University of Geosciences (Wuhan)",114.4020037,30.518184
"China University of Petroleum (Beijing)",116.247116,40.219466
"Chonbuk National University",127.1293628,35.8468291
"Chongqing University",106.454213,29.560254
"Chonnam National University",NA,NA
"Chulalongkorn University",100.5320528,13.7383777
"Chung Yuan Christian University",121.2428031,24.9569013
"Chungnam National University",127.3459548,36.3699872
"Comenius University in Bratislava",17.115559,48.1411309
"Coventry University",-1.5037461,52.4071747
"Dalian University of Technology",121.529021,38.880381
"University of Debrecen",21.6214756,47.5535039
"University of Delhi",77.1638282,28.5842523
"University of Dhaka",90.3924947,23.7315492
"Dublin Institute of Technology",-6.2676448,53.3386609
"Ehime University",132.7715089,33.8502377
"University of Electronic Science and Technology of China",104.100361,30.675104
"Eötvös Loránd University",19.0585445,47.4905698
"Erciyes University",35.5301767,38.7073405
"Federal University of Bahia",-38.5089752,-13.0024602
"Federal University of Minas Gerais",-43.9663841,-19.8690878
"Federal University of Paraná (UFPR)",-49.2617658,-25.4269081
"Federal University of Rio Grande do Sul",-51.2203322,-30.0335453
"Federal University of Santa Catarina",-48.5235907,-27.599144
"Federal University of São Carlos",-47.8811216,-21.979011
"Federal University of Viçosa",-42.8682513,-20.7643812
"Federal University of Lavras",-44.9775718,-21.2292703
"Feng Chia University",120.6467054,24.1788155
"Fu Jen Catholic University",121.4327592,25.0362991
"Gdańsk University of Technology",18.6163277,54.3716751
"University of Ghana",-0.1962244,5.650562
"Gifu University",136.7365752,35.4662236
"Glasgow Caledonian University",-4.2508041,55.8661538
"University of Greenwich",-0.0059828,51.4833425
"Hacettepe University",32.7299184,39.8705295
"University of Huddersfield",-1.7770916,53.6431171
"Hunan University",112.943822,28.179012
"University of Ibadan",3.8986279,7.4454027
"University of Indonesia",106.8295587,-6.3680739
"Inha University",126.653116,37.449627
"I-Shou University",120.4063526,22.7258536
"Istanbul University",28.961838,41.0126037
"Jilin University",125.348658,43.873742
"University of Jordan",35.8730077,32.0134626
"Jordan University of Science and Technology",35.9912257,32.4950392
"Juntendo University",139.7608345,35.7021299
"K.N. Toosi University of Technology",51.4127853,35.7627046
"Kaohsiung Medical University",120.3097772,22.6473733
"Khon Kaen University",102.8266222,16.4731646
"Kingston University",-0.303931,51.4031134
"Kinki University",135.587042,34.65123
"Konkuk University",127.0793428,37.5407625
"Kumamoto University",130.7278725,32.8140382
"Kyungpook National University",128.6113282,35.8900521
"Kyushu Institute of Technology",130.8392259,33.8941523
"University of Latvia",24.1163132,56.9508098
"Lille 1 University – Science and Technology",3.138063,50.609049
"University of Lincoln",-0.5504171,53.2287474
"University of Ljubljana",14.5041552,46.0491938
