"world_rank","university_name","national_rank","total_score","alumni","award","hici","ns","pub","pcp","year","lon","lat"
"56","The Australian National University","1",30.2,17.7,12.9,36.9,29,45.1,27.8,2005,149.118527,-35.2776999
"57","University of Copenhagen","1",30,30.7,24.7,23.6,22.8,45.7,27.7,2005,121.0990078,14.6064499
"57","University of Florida","40",30,15.4,0,35.1,25,65.2,25.8,2005,-80.277027,25.714868
"57","University of Zurich","2",30,12.5,27.3,19.2,30.3,47.2,30.6,2005,8.5595886,47.3588302
"60","Uppsala University","2",29.9,25.9,32.9,11.1,28.7,49.1,21.6,2005,17.6300093,59.8509005
"61","University of Paris Sud (Paris 11)","2",29.4,33.2,34.2,13.6,19.6,44.9,27.9,2005,2.1764839,48.6976847
"62","Osaka University","3",29.3,12.5,0,23.6,31.1,66.8,29.2,2005,-99.1462101,19.2848865
"63","The Ohio State University - Columbus","41",29.2,17.7,0,40.8,21.5,61.2,19.5,2005,-83.0309143,40.0141905
"64","University of Bristol","7",28.8,10.9,18.2,30.4,24.5,47.5,27.4,2005,-2.6259899,51.4771065
"65","The University of Sheffield","8",28.6,23.5,14.4,23.6,29.2,46.6,27.1,2005,-1.4879469,53.3809409
"65","University of Rochester","42",28.6,33.2,9.1,27.2,25.3,43,36.1,2005,-77.6260033,43.1305531
"67","McGill University","3",28.4,28.8,0,28.3,23.6,56.8,30,2005,-113.9836203,46.8624181
"67","Moscow State University","1",28.4,51.4,34.9,0,7.5,54,31.6,2005,37.5286695,55.7039349
"69","Case Western Reserve University","43",28.3,40.7,11.8,20.8,23,44.8,33.7,2005,-81.6083838,41.5043413
"69","University of Oslo","1",28.3,25.9,34.1,17.6,18.2,41.5,26.4,2005,121.0936889,14.6712421
"71","University of Heidelberg","3",28,10.9,27.7,20.8,20.9,48.1,26.9,2005,8.6702492,49.4191402
"72","Leiden University","2",27.9,25.1,15.8,27.2,19.3,46.7,28.1,2005,4.481357,52.1569487
"73","Tohoku University","4",27.8,18.8,0,19.2,26.9,65.3,29,2005,140.874074,38.253834
"73","University of Arizona","44",27.8,0,0,29.4,36.8,55.8,25.7,2005,-82.4530718,28.067177
"75","Purdue University - West Lafayette","45",27.7,18.8,17.1,27.2,21.4,49.8,19.4,2005,-86.9211946,40.4237054
"76","University of Helsinki","1",27.4,18.8,18.2,15.7,21.4,54.5,27.5,2005,-99.1698567,19.3049111
"77","Michigan State University","46",26.9,12.5,0,37.7,26.6,51,18.7,2005,-83.7333394,42.2752422
"78","Rice University","47",26.2,21.7,22.3,23.6,24.4,30.8,31,2005,-85.6613123,40.1136943
"78","The Hebrew University of Jerusalem","1",26.2,33.2,0,23.6,27.1,46.6,26.9,2005,35.2414009,31.7945578
"80","Boston University","48",26.1,15.4,0,31.4,28.1,50.8,17.5,2005,-0.1852592,51.4925846
"80","King's College London","9",26.1,16.6,23.5,20.8,17.4,44.6,24.8,2005,-0.115997,51.5114864
"82","University of Melbourne","2",26,15.4,14.4,22.2,18.7,53.5,19.9,2005,144.9610796,-37.8013221
"83","University of Nottingham","10",25.9,15.4,20.4,20.8,19,45.6,24.8,2005,-1.1951582,52.938636
"84","University of Goettingen","4",25.8,38.7,20.4,15.7,17.5,40.2,24.5,2005,9.9374004,51.5408116
"85","University of Vienna","1",25.6,25.1,15.8,7.9,22.7,52.2,26.4,2005,-117.8440006,33.6140008
"86","Brown University","49",25.4,0,13.9,29.4,25.5,40.7,27.9,2005,-83.9617862,43.514033
"87","Indiana University Bloomington","50",25.2,14,18.2,24.8,21.2,42,18.2,2005,-86.5130173,39.1766135
"87","University of Basel","3",25.2,25.9,17.5,19.2,21.4,34.5,33.8,2005,36.2776484,33.5117629
"89","Texas A&M University - College Station","51",25.1,0,0,32.4,24.4,55,20.4,2005,-99.9018131,31.9685988
