"world_rank","university_name","country","teaching","international","research","citations","income","total_score","num_students","student_staff_ratio","international_students","female_male_ratio","year","lon","lat","bar_count"
41,"Georgia Institute of Technology","United States of America",57.8,"71.5",72.7,86,"73.7","72.1","19,967",20.1,"26%","31 : 69",2016,-84.3988806,33.7784626,196
42,"Peking University","China",77.8,"49.2",72.4,69.1,"100.0","72.0","40,148",8.3,"14%","",2016,116.3065393,39.9939231,191
43,"University of Tokyo","Japan",81.4,"30.3",83,60.9,"50.8","71.1","26,199",5.7,"10%","",2016,139.7442192,35.7198647,198
44,"University of California, Davis","United States of America",60.1,"58.4",72.7,84.3,"57.3","71.0","35,364",13.9,"13%","54 : 46",2016,-121.7209826,38.5494919,26
44,"University of Hong Kong","Hong Kong",64.6,"99.5",72.8,70.1,"53.7","71.0","19,835",17.6,"38%","53 : 47",2016,114.1378391,22.2840507,199
46,"University of Texas at Austin","United States of America",59.3,"31.7",69.7,92.2,"63.1","70.3","49,427",17.4,"9%","51 : 49",2016,-97.7335226,30.2850284,196
47,"Tsinghua University","China",73.3,"39.5",83,58.8,"100.0","70.0","39,763",13.7,"10%","32 : 68",2016,116.3246671,39.9990443,193
47,"Wageningen University and Research Center","Netherlands",52.6,"70.3",66.9,87.8,"100.0","70.0","9,248",17,"21%","56 : 44",2016,5.6653948,51.9691868,17
49,"Humboldt University of Berlin","Germany",63.7,"62.6",77,73.6,"36.1","69.9","29,987",52.5,"16%","",2016,13.5333041,52.4321218,77
50,"University of Wisconsin-Madison","United States of America",65.1,"33.0",68.2,86.6,"48.5","69.7","39,655",10.8,"11%","51 : 49",2016,-89.4052247,43.0765915,180
51,"Brown University","United States of America",62.8,"57.8",55.7,96.4,"31.4","69.6","8,653",10.1,"19%","",2016,-83.9617862,43.514033,15
52,"Australian National University","Australia",54.7,"93.3",77.3,72.3,"48.0","69.5","14,604",19.2,"35%","52 : 48",2016,142.389278,-10.890853,NA
53,"Technical University of Munich","Germany",61,"63.8",66,80.1,"99.2","69.4","35,565",31.5,"20%","33 : 67",2016,19.2402603,52.0563394,4
54,"École Normale Supérieure","France",70.6,"85.5",47.7,87.1,"37.1","69.0","2,400",7.9,"20%","46 : 54",2016,-83.8126438,39.7473569,1
55,"Nanyang Technological University","Singapore",48.4,"94.6",61.3,85.6,"99.9","68.2","25,028",16.2,"33%","48 : 52",2016,-120.554501,34.865784,NA
56,"University of Manchester","United Kingdom",58.4,"87.0",66,77.3,"42.0","68.1","34,938",15.3,"34%","52 : 48",2016,-90.3332427,38.6129798,123
56,"University of Sydney","Australia",54.3,"84.4",68.1,77.5,"72.4","68.1","41,868",20.2,"28%","57 : 43",2016,149.6612155,-30.4730963,NA
58,"University of Amsterdam","Netherlands",52.2,"66.5",64.7,87.4,"62.8","67.8","24,570",14.4,"11%","53 : 47",2016,4.9470315,52.3561962,200
59,"Hong Kong University of Science and Technology","Hong Kong",49.4,"80.5",66.1,82.6,"68.1","67.2","11,385",23.8,"36%","",2016,114.2715461,22.2917485,11
60,"The University of Queensland","Australia",49.2,"89.3",62.8,82.4,"76.7","67.0","34,718",32.7,"27%","53 : 47",2016,151.9287869,-27.6061106,9
60,"Washington University in St Louis","United States of America",54.3,"44.9",55.6,99.2,"33.5","67.0","12,528",5.7,"17%","",2016,-90.3308854,38.6846489,84
62,"Utrecht University","Netherlands",48.1,"55.8",64.3,88.1,"89.1","66.6","30,779",15.4,"7%","59 : 41",2016,5.1214201,52.0907374,123
63,"University of North Carolina at Chapel Hill","United States of America",58,"39.0",54.5,95.9,"39.4","66.4","26,518",7.3,"8%","58 : 42",2016,-78.9399682,35.9681485,65
64,"Boston University","United States of America",57.8,"51.0",49.5,97.7,"30.3","66.1","24,789",8.6,"17%","58 : 42",2016,-0.1852592,51.4925846,194
65,"Delft University of Technology","Netherlands",55,"84.0",73.8,61.5,"100.0","65.9","15,920",19.4,"25%","26 : 74",2016,4.3570677,52.0115769,51
65,"University of Minnesota","United States of America",53.5,"35.3",61,88,"98.5","65.9","46,825",18,"13%","52 : 48",2016,-93.199514,44.9743269,147
67,"Leiden University","Netherlands",50.5,"64.3",63.1,85.2,"49.8","65.7","21,222",17.1,"10%","59 : 41",2016,4.481357,52.1569487,57
68,"University of Southern California","United States of America",49.3,"56.3",58.9,93,"38.0","65.5","36,534",12.9,"20%","52 : 48",2016,-117.2914463,34.1036186,31
69,"University of Bristol","United Kingdom",47.6,"82.4",51.6,91.2,"40.0","64.3","17,906",14,"25%","53 : 47",2016,-2.6259899,51.4771065,182
70,"Durham University","United Kingdom",47.9,"86.4",51.9,87.7,"34.4","63.6","15,489",15.7,"24%","54 : 46",2016,-1.5782029,54.7649859,91
71,"Erasmus University Rotterdam","Netherlands",37.2,"76.1",55.2,95.6,"54.6","63.5","20,580",18.9,"18%","48 : 52",2016,4.525585,51.91752,200
72,"Free University of Berlin","Germany",57.9,"69.2",72.2,60.2,"35.1","63.2","33,062",39.3,"20%","58 : 42",2016,13.404954,52.5200066,197
73,"Monash University","Australia",48.1,"87.6",58.5,73.3,"79.7","62.5","50,882",40.5,"36%","56 : 44",2016,145.1340508,-38.1532011,20
74,"University of Groningen","Netherlands",43.3,"63.9",56.9,84,"92.4","62.4","24,556",25.6,"12%","52 : 48",2016,6.5665018,53.2193835,84
75,"Pennsylvania State University","United States of America",50.4,"40.8",61.9,80.5,"56.2","62.3","44,501",12.4,"12%","46 : 54",2016,-77.8608888,40.8072337,46
76,"University of Glasgow","United Kingdom",41.6,"85.8",48.3,92.3,"31.6","61.9","22,616",16,"29%","57 : 43",2016,-4.288761,55.87151,199
76,"University of Helsinki","Finland",48.4,"51.8",60.4,82.1,"31.6","61.9","23,505",15.1,"6%","66 : 34",2016,-99.1698567,19.3049111,200
78,"University of Tübingen","Germany",47,"58.2",59.8,79.3,"59.2","61.7","28,327",38.9,"12%","58 : 42",2016,9.0576448,48.5216364,47
79,"University of Pittsburgh","United States of America",50.6,"33.9",50.3,92.3,"39.3","61.5","26,485",5.8,"10%","51 : 49",2016,-79.960835,40.4443533,198
80,"University of Warwick","United Kingdom",47.4,"90.3",53.1,78.2,"37.7","61.3","18,529",16.6,"37%","48 : 52",2016,-1.563191,52.379411,128
81,"Uppsala University","Sweden",44.1,"59.6",61,80.9,"39.5","61.2","25,266",18.2,"12%","57 : 43",2016,17.6300093,59.8509005,41
82,"University of Copenhagen","Denmark",49.8,"83.3",42.7,86.2,"45.0","61.0","27,545",4.1,"19%","67 : 33",2016,121.0990078,14.6064499,197
82,"University of New South Wales","Australia",40.7,"89.5",53.9,82.1,"50.0","61.0","38,309",25.9,"33%","47 : 53",2016,151.710005,-32.8871981,28
84,"University of Freiburg","Germany",47.4,"60.3",51.1,80.5,"100.0","60.7","26,467",31.2,"16%","52 : 48",2016,7.8493126,48.0028354,121
85,"Seoul National University","South Korea",66.5,"30.9",70.5,50,"85.4","60.5","26,389",13.9,"10%","",2016,126.952712,37.48121,116
86,"University of St Andrews","United Kingdom",49.7,"92.3",47.3,78.8,"30.6","60.4","8,338",12.7,"47%","56 : 44",2016,-2.7930852,56.3412112,35
87,"Vanderbilt University","United States of America",47.8,"29.1",44.2,95.7,"63.2","60.1","12,161",3.6,"10%","52 : 48",2016,-73.7199435,40.7694536,85
88,"Kyoto University","Japan",70.6,"26.1",69.3,46.6,"79.0","59.9","22,809",5.6,"7%","",2016,135.7680294,35.0116363,197
88,"Maastricht University","Netherlands",37.5,"95.5",47.7,82.7,"95.4","59.9","15,626",18.9,"48%","56 : 44",2016,5.6886039,50.8442878,68
90,"Emory University","United States of America",48.3,"51.0",37.1,96.7,"48.9","59.7","12,338",4.5,"18%","56 : 44",2016,-80.627626,28.0658079,50
90,"Lund University","Sweden",39.7,"74.1",53.6,81.3,"70.4","59.7","28,251",11.5,"15%","",2016,-87.7106499,41.9722799,199
90,"Ohio State University","United States of America",51.6,"53.0",46.6,83.2,"53.1","59.7","51,462",13.4,"12%","49 : 51",2016,-83.0227103,39.9993865,200
93,"University of Exeter","United Kingdom",39.4,"87.3",40,94.3,"31.9","59.5","17,755",18.8,"28%","54 : 46",2016,-117.8296666,33.6508563,48
94,"University of Bonn","Germany",45.1,"63.6",47.5,85.3,"-","58.8","32,474",70.4,"13%","55 : 45",2016,121.1009535,14.6051887,197
94,"Georgetown University","United States of America",54.4,"52.7",39.3,82.5,"80.7","58.8","15,408",8.5,"14%","53 : 47",2016,-77.0722585,38.9076089,199
94,"McMaster University","Canada",39.8,"76.1",44.8,84.9,"88.0","58.8","23,823",19.3,"15%","53 : 47",2016,-81.0261039,34.0026819,113
97,"University of Sheffield","United Kingdom",42.4,"81.9",48.8,80.1,"43.4","58.6","23,311",15.5,"31%","50 : 50",2016,-1.48406,53.38071,181
98,"Queen Mary University of London","United Kingdom",34.1,"93.5",41.3,93.3,"36.8","58.5","14,260",14,"40%","52 : 48",2016,-0.0591022,51.5169409,193
99,"University of Göttingen","Germany",49.3,"56.4",54.5,72.7,"31.8","58.0","25,581",25.6,"12%","51 : 49",2016,9.9374004,51.5408116,50
99,"Michigan State University","United States of America",47.3,"56.4",52.6,76.8,"32.2","58.0","44,750",15.7,"15%","51 : 49",2016,-83.7333394,42.2752422,95
101,"University of Basel","Switzerland",39.5,"94.7",33.1,88.3,"99.9","57.9","12,551",17.3,"24%","54 : 46",2016,36.2776484,33.5117629,25
101,"École Polytechnique","France",53.5,"92.8",44.6,64.7,"82.3","57.9","2,429",4.8,"30%","18 : 82",2016,-73.6130801,45.504661,200
101,"Rice University","United States of America",37.9,"66.6",35.1,99.7,"41.7","57.9","6,333",9,"26%","44 : 56",2016,-85.6613123,40.1136943,18
104,"Dartmouth College","United States of America",50.7,"38.3",35.8,93.3,"40.8","57.8","6,178",6.6,"16%","47 : 53",2016,-91.6514459,41.92479,24
