"world_rank","university_name","country","teaching","international","research","citations","income","total_score","num_students","student_staff_ratio","international_students","female_male_ratio","year","lon","lat","bar_count"
180,"Scuola Superiore Sant’Anna","Italy",42.5,"45.2",23.2,84.5,"71.2","50.2","769",8.5,"17%","35 : 65",2016,10.4027859,43.7209661,200
182,"University of Bergen","Norway",32.5,"70.0",31.5,82.4,"36.2","50.1","11,623",11.1,"12%","60 : 40",2016,-74.1913563,40.7424432,200
182,"Cardiff University","United Kingdom",30.9,"78.1",31.6,82,"34.6","50.1","23,347",13.1,"23%","57 : 43",2016,-3.1868361,51.4919075,190
182,"University of Utah","United States of America",35.6,"30.1",35.3,83.7,"57.4","50.1","25,674",16.9,"9%","45 : 55",2016,-111.8884532,33.4249307,94
185,"Brandeis University","United States of America",28.3,"47.0",25.7,97.3,"38.6","49.9","5,495",12.6,"22%","55 : 45",2016,-85.7551276,38.2190053,198
185,"University of Dundee","United Kingdom",25.6,"78.5",26.9,90.2,"49.5","49.9","11,628",15.3,"25%","60 : 40",2016,-82.4316809,28.0619082,63
185,"University of Würzburg","Germany",34.6,"50.9",35.8,79.1,"47.9","49.9","26,576",38.4,"8%","57 : 43",2016,9.9533548,49.7913044,110
188,"Paris-Sud University","France",38.7,"64.2",29,79.8,"28.8","49.8","27,603",15,"17%","",2016,2.1764839,48.6976847,59
189,"Arizona State University","United States of America",32.4,"31.9",38.1,84.6,"32.0","49.7","83,236",29.9,"9%","50 : 50",2016,-111.9339825,33.4205343,101
190,"University of Antwerp","Belgium",31.6,"64.8",40.8,71.7,"60.3","49.6","12,346",30.3,"16%","56 : 44",2016,4.4102318,51.2228097,200
190,"Boston College","United States of America",34.1,"60.0",29.3,83.3,"46.8","49.6","13,216",17.4,"19%","54 : 46",2016,-0.0147452,52.9733763,53
192,"Ulm University","Germany",35.2,"58.2",23.9,86.4,"58.4","49.5","9,187",11.2,"10%","47 : 53",2016,-92.0610366,32.5320588,28
193,"University of Luxembourg","Luxembourg",25,"99.8",26.7,84.8,"38.1","49.4","5,144",15.9,"52%","50 : 50",2016,5.948386,49.504254,41
193,"Texas A&M University","United States of America",49.4,"47.8",52.4,47.1,"46.4","49.4","50,657",21.4,"9%","47 : 53",2016,-99.9018131,31.9685988,1
195,"Charité - Universitätsmedizin Berlin","Germany",37.3,"61.1",22.2,83.8,"68.4","49.3","6,853",6.6,"16%","64 : 36",2016,13.3766245,52.5264618,198
196,"Newcastle University","United Kingdom",30.9,"84.3",27.5,81.5,"34.7","49.2","20,174",15.2,"29%","50 : 50",2016,151.710005,-32.8871981,28
196,"St George’s, University of London","United Kingdom",25.6,"69.5",18.1,100,"37.7","49.2","2,958",13.4,"17%","61 : 39",2016,-0.1745034,51.4271937,192
198,"University of Trento","Italy",30.8,"55.9",27.4,87.7,"47.1","49.1","16,841",43.2,"8%","51 : 49",2016,11.1231165,46.0667967,199
199,"Paris Diderot University – Paris 7","France",30.5,"64.9",22.9,91,"29.0","48.9","27,756",14.8,"17%","63 : 37",2016,2.3075232,48.8588342,198
200,"Queen’s University Belfast","United Kingdom",34.1,"93.4",33.3,68.9,"35.7","48.8","17,940",17.9,"30%","54 : 46",2016,-5.9340494,54.5844087,199
